phenotype,model,trial,llm_concepts,resolved,unresolved,resolution_rate,expanded_total,n_gold,precision,recall,f1,jaccard,precision_aa,recall_aa,f1_aa,tp,fp,fn,n_pred_patients,n_gold_patients,patient_tp,patient_fp,patient_fn,patient_precision,patient_recall,patient_f1
cardiac_valve_af,gemini_flash,3,179,147,32,82.1,13606,181,0.001175951785976775,0.08839779005524862,0.0023210270544716037,0.001161861883668579,0.004556813170660003,0.09392265193370165,0.008691923273572925,16,13590,165,2500,481,481,2019,0,0.1924,1,0.32271049983227107
acute_liver_injury,claude_opus_4_6,1,112,99,13,88.4,718,30,0.023676880222841225,0.5666666666666667,0.045454545454545456,0.023255813953488372,0.3426183844011142,0.6333333333333333,0.4446770050423366,17,701,13,3499,851,851,2648,0,0.24321234638468134,1,0.391264367816092
acute_liver_injury,claude_opus_4_6,2,121,103,18,85.1,721,30,0.023578363384188627,0.5666666666666667,0.045272969374167776,0.02316076294277929,0.34257975034674065,0.6333333333333333,0.4446444644464446,17,704,13,3500,851,851,2649,0,0.24314285714285713,1,0.39117444265686047
acute_liver_injury,claude_opus_4_6,3,109,92,17,84.4,716,30,0.0223463687150838,0.5333333333333333,0.04289544235924933,0.021917808219178082,0.3435754189944134,0.6,0.4369449378330373,16,700,14,3443,851,794,2649,57,0.23061283764159163,0.9330199764982373,0.3698183511877038
acute_liver_injury,gemini_flash,1,137,89,48,65,764,30,0.024869109947643978,0.6333333333333333,0.047858942065491177,0.024516129032258065,0.39528795811518325,0.6666666666666666,0.4963023829087921,19,745,11,954,851,851,103,0,0.8920335429769392,1,0.9429362880886427
acute_liver_injury,gemini_flash,2,59,54,5,91.5,758,30,0.025065963060686015,0.6333333333333333,0.048223350253807105,0.0247074122236671,0.39841688654353563,0.6666666666666666,0.49876135425268364,19,739,11,924,851,851,73,0,0.920995670995671,1,0.9588732394366197
acute_liver_injury,gemini_flash,3,72,62,10,86.1,766,30,0.024804177545691905,0.6333333333333333,0.04773869346733668,0.02445302445302445,0.39425587467362927,0.6666666666666666,0.4954881050041018,19,747,11,2815,851,851,1964,0,0.3023090586145648,1,0.46426623022367697
drug_pancreatitis,claude_opus_4_6,1,106,95,11,89.6,104,31,0.019230769230769232,0.06451612903225806,0.02962962962962963,0.015037593984962405,0.19230769230769232,0.12903225806451613,0.15444015444015446,2,102,29,1754,490,405,1349,85,0.23090079817559864,0.826530612244898,0.3609625668449198
drug_pancreatitis,claude_opus_4_6,2,103,95,8,92.2,99,31,0.020202020202020204,0.06451612903225806,0.030769230769230767,0.015625,0.20202020202020202,0.12903225806451613,0.15748031496062995,2,97,29,1753,490,404,1349,86,0.23046206503137479,0.8244897959183674,0.3602318323673651
drug_pancreatitis,claude_opus_4_6,3,105,97,8,92.4,103,31,0.019417475728155338,0.06451612903225806,0.029850746268656716,0.015151515151515152,0.1941747572815534,0.12903225806451613,0.15503875968992248,2,101,29,1697,490,398,1299,92,0.23453152622274603,0.8122448979591836,0.36396890717878366
drug_pancreatitis,gemini_flash,1,137,108,29,78.8,1680,31,0.004761904761904762,0.25806451612903225,0.00935125657510228,0.004697592483852026,0.03511904761904762,0.3225806451612903,0.06334210102528316,8,1672,23,1127,490,321,806,169,0.28482697426796805,0.6551020408163265,0.3970315398886827
drug_pancreatitis,gemini_flash,2,129,112,17,86.8,1548,31,0.0012919896640826874,0.06451612903225806,0.00253324889170361,0.0012682308180088776,0.012919896640826873,0.12903225806451613,0.023487962419260128,2,1546,29,661,490,201,460,289,0.3040847201210287,0.41020408163265304,0.34926151172893133
drug_pancreatitis,gemini_flash,3,118,81,37,68.6,172,31,0.046511627906976744,0.25806451612903225,0.07881773399014778,0.041025641025641026,0.3430232558139535,0.3225806451612903,0.3324880247957171,8,164,23,841,490,280,561,210,0.3329369797859691,0.5714285714285714,0.4207362885048835
trd,claude_opus_4_6,1,103,84,19,81.6,151,69,0.24503311258278146,0.5362318840579711,0.33636363636363636,0.20218579234972678,0.7350993377483444,0.5362318840579711,0.6201117318435754,37,114,32,723,833,604,119,229,0.8354080221300139,0.7250900360144058,0.7763496143958869
trd,claude_opus_4_6,2,103,84,19,81.6,159,69,0.23270440251572327,0.5362318840579711,0.32456140350877194,0.193717277486911,0.710691823899371,0.5362318840579711,0.6112573099415205,37,122,32,819,833,637,182,196,0.7777777777777778,0.7647058823529411,0.7711864406779662
trd,claude_opus_4_6,3,102,86,16,84.3,155,69,0.23870967741935484,0.5362318840579711,0.33035714285714285,0.19786096256684493,0.7161290322580646,0.5362318840579711,0.6132596685082873,37,118,32,687,833,597,90,236,0.868995633187773,0.7166866746698679,0.7855263157894735
trd,gemini_flash,1,108,90,18,83.3,701,69,0.05135520684736091,0.5217391304347826,0.0935064935064935,0.04904632152588556,0.2810271041369472,0.5797101449275363,0.37854586505896765,36,665,33,837,833,641,196,192,0.7658303464755077,0.7695078031212484,0.7676646706586826
trd,gemini_flash,2,121,94,27,77.7,2397,69,0.017521902377972465,0.6086956521739131,0.0340632603406326,0.017326732673267328,0.3170629954109303,0.6231884057971014,0.4202918121547672,42,2355,27,1766,833,828,938,5,0.46885617214043035,0.9939975990396158,0.6371681415929203
trd,gemini_flash,3,108,89,19,82.4,2331,69,0.018447018447018446,0.6231884057971014,0.03583333333333333,0.01824352991090369,0.32646932646932647,0.6376811594202898,0.4318482263192174,43,2288,26,1771,833,828,943,5,0.4675324675324675,0.9939975990396158,0.6359447004608295
